year4,sample_date,biomass_ugL,biomass_mgL,biomass_m3,biomass_per_m2,biomass_per_hec
2001,1/25/2001,58.303227071,0.058303227071000004,58.303227071,1982.3097204140001,19823097.20414
2001,10/18/2001,92.417708415,0.09241770841500001,92.417708415,3142.2020861100004,31422020.861100003
2001,11/14/2001,218.988006354,0.21898800635399998,218.988006354,7445.592216036,74455922.16036
2001,2/27/2001,40.377504582,0.040377504582,40.377504582,1372.835155788,13728351.55788
2001,4/6/2001,34.367144861,0.034367144861,34.367144861,1168.482925274,11684829.25274
2001,5/17/2001,105.00517274199998,0.10500517274199998,105.00517274199998,3570.1758732279995,35701758.73227999
2001,5/2/2001,27.289472413000002,0.027289472413,27.289472413000002,927.8420620420001,9278420.62042
2001,5/30/2001,161.391443319,0.161391443319,161.391443319,5487.309072845999,54873090.72845999
2001,6/14/2001,351.237031394,0.351237031394,351.237031394,11942.059067396,119420590.67395999
2001,6/27/2001,116.69722054,0.11669722054000001,116.69722054,3967.70549836,39677054.9836
2001,7/26/2001,77.686939492,0.07768693949199999,77.686939492,2641.3559427279997,26413559.427279998
2001,8/22/2001,34.661592637,0.034661592637,34.661592637,1178.494149658,11784941.49658
2001,9/19/2001,131.889051145,0.131889051145,131.889051145,4484.22773893,44842277.389299996
2002,10/8/2002,63.860130108,0.063860130108,63.860130108,2171.244423672,21712444.236719996
2002,11/6/2002,149.571249077,0.149571249077,149.571249077,5085.4224686180005,50854224.68618
2002,2/25/2002,111.10497199699999,0.111104971997,111.10497199699999,3777.5690478979996,37775690.47898
2002,4/26/2002,82.929757314,0.082929757314,82.929757314,2819.611748676,28196117.486759998
2002,5/21/2002,268.39210611,0.26839210611,268.39210611,9125.33160774,91253316.07739998
2002,6/19/2002,127.46272185699999,0.127462721857,127.462721857,4333.732543138,43337325.43138
2002,7/15/2002,178.70838755399998,0.17870838755399998,178.70838755399998,6076.085176836,60760851.76836
2002,8/13/2002,125.697276355,0.125697276355,125.697276355,4273.70739607,42737073.9607
2002,9/11/2002,92.47371295800001,0.09247371295800001,92.47371295800001,3144.1062405720004,31441062.405720003
2003,10/15/2003,98.458246583,0.09845824658300001,98.458246583,3347.580383822,33475803.838219997
2003,11/21/2003,61.899834340000005,0.06189983434000001,61.899834340000005,2104.59436756,21045943.6756
2003,3/11/2003,88.59857982199999,0.08859857982199999,88.59857982199999,3012.3517139479995,30123517.139479995
2003,5/1/2003,100.270778685,0.10027077868499999,100.270778685,3409.20647529,34092064.7529
2003,5/29/2003,110.00557421899998,0.11000557421899998,110.00557421899998,3740.1895234459994,37401895.23445999
2003,6/24/2003,242.27507829500001,0.242275078295,242.27507829500001,8237.35266203,82373526.6203
2003,7/22/2003,107.689980273,0.107689980273,107.689980273,3661.459329282,36614593.29282
2003,8/19/2003,112.06299942700001,0.11206299942700002,112.06299942700001,3810.1419805180003,38101419.80518
2003,9/22/2003,122.37268659799999,0.12237268659799999,122.37268659799999,4160.6713443319995,41606713.44331999
2004,10/14/2004,96.111389762,0.096111389762,96.111389762,3267.787251908,32677872.519079998
2004,11/10/2004,80.970944447,0.080970944447,80.970944447,2753.0121111979997,27530121.111979995
2004,2/16/2004,55.699559167000004,0.05569955916700001,55.699559167000004,1893.785011678,18937850.116779998
2004,4/28/2004,23.111795492000002,0.023111795492,23.111795492000002,785.8010467280001,7858010.46728
2004,5/26/2004,120.38171824300001,0.12038171824300001,120.38171824300001,4092.9784202620003,40929784.20262
2004,6/23/2004,176.94990291899998,0.17694990291899998,176.94990291899998,6016.296699246,60162966.99245999
2004,7/20/2004,84.263342069,0.084263342069,84.263342069,2864.953630346,28649536.30346
