year4,taxon,avg_ind_perhec,prop.err.stdev,weight.avg.g,weight.sd.g,biomass.g_perhec,biomass_prop.err.sd,biomass.prop.err.se
2001,CHAOBORUS LARVAE,519466.6666666666,42.45085864855975,1.402333129686788e-4,9.363730057805008e-5,72.84653164346301,76.8754928874836,35.62924121059767
2001,LEPTODORA,2060099.9999999998,156.3695408319664,5.2056731805669195e-5,3.4450468276303405e-5,107.2420731928591,107.99556952697482,48.29617001380666
2001,MYSIS,475333.3333333333,67.30752186791607,0.0010258207348947785,4.674428614154545e-6,487.60678931998467,690.4580905584743,398.6344873829083
2002,CHAOBORUS LARVAE,191750,7.007631554241419,1.6960002371396745e-4,9.409633521445078e-5,32.52080454715326,21.60557245186709,7.372528580414635
2002,LEPTODORA,846975,38.80135693503515,3.122536881231462e-5,1.4250754957947946e-5,26.447106749810175,17.102044599026687,6.703421281938479
2002,MYSIS,446974.99999999994,25.386982884935342,0.0010204052029552432,2.619618398315618e-6,456.09561559091975,259.05274045497885,149.5303508368977
2003,CHAOBORUS LARVAE,492300,15.006415294799755,1.0283186995123951e-4,6.148399319186131e-5,50.62412957699521,33.97519287637133,10.579186659492185
2003,LEPTODORA,784749.9999999999,49.99124423336551,4.036486400162247e-5,2.9365078996368926e-5,31.67632702527323,30.630461572442677,9.297386036623685
2003,MYSIS,977399.9999999999,49.12264752637015,0.0010166080815112455,3.7131761578490147e-6,993.6327388690912,499.3979921736783,288.3160199474224
2004,CHAOBORUS LARVAE,1365199.9999999998,71.0401330235241,9.19418369904074e-5,4.572398019935068e-5,125.51899585930416,90.34755824574279,33.37556310655955
2004,LEPTODORA,1505799.9999999998,59.2609095441506,4.9297304344776085e-5,3.510763347778017e-5,74.23188088236381,60.40013000333989,17.189030593379886
2004,MYSIS,1265900,24.322919232690797,0.0010204301879514377,4.036218376184649e-6,1291.762574927725,248.25099680187057,143.25612153328493
2005,CHAOBORUS LARVAE,228866.6666666667,9.745670833759982,6.433199772473514e-5,3.9647403662136155e-5,14.723449879267717,11.02926146017542,3.728951120786355
2005,LEPTODORA,1507233.3333333333,56.279724590655206,2.406676050525659e-5,1.1633755080895725e-5,36.274223658872906,22.15688844627497,7.6103358742921525
2005,MYSIS,1145899.9999999998,89.91369473000206,0.001019893384589477,3.621459194172466e-6,1168.6958294010815,917.033214006433,529.4455782004801
2006,CHAOBORUS LARVAE,252100,7.51791194415045,5.202696376397849e-5,2.858671147074984e-5,13.115997564898978,8.199710935032934,2.763217400104241
2006,LEPTODORA,2376433.333333333,70.03012280440468,5.149210280779073e-5,4.04482759247556e-5,122.3675495158608,102.66393031338981,26.06485118192668
2006,MYSIS,161266.66666666666,13.93762174834717,0.0010197025162157992,3.0116428107377582e-6,164.44402578173455,142.1231095244901,82.05446709317526
2007,CHAOBORUS LARVAE,675399.9999999999,21.811593247628657,8.178410572175356e-5,4.007029319680202e-5,55.236985004472345,32.41359031518116,10.129629298920065
