year,spp,biomass.g_perhec,bodymass_g,met.type,org.type,losses,efficiencies
2001,cisco,70786.76352306856,17.817230960412246,Ectothermic.vertebrate,animal,7.885880980156541,0.906
2001,lake.trout,0,0,Ectothermic.vertebrate,animal,0,0.906
2001,walleye,0,0,Ectothermic.vertebrate,animal,0,0.906
2001,chaoborus.larvae,72.84653164346301,1.402333129686788e-4,Invertebrate,animal,225.00048219106827,0.906
2001,leptodora,107.2420731928591,5.2056731805669195e-5,Invertebrate,animal,299.91072345310596,0.906
2001,mysis,487.6067893199846,0.00102582073489477,Invertebrate,animal,126.3454387619401,0.906
2001,cladocera,5622.499010257501,2.626169433966667e-6,Invertebrate,animal,713.1267046630692,0.906
2001,copepoda,13950.837886817999,3.075595602566667e-6,Invertebrate,animal,681.1940063901869,0.906
2001,rotifera,480.87608795100004,4.87374062875817e-8,Invertebrate,animal,2266.1580474517154,0.906
2002,cisco,56409.41626115502,18.90464593303209,Ectothermic.vertebrate,animal,7.751557983632052,0.906
2002,lake.trout,0,0,Ectothermic.vertebrate,animal,0,0.906
2002,walleye,0,0,Ectothermic.vertebrate,animal,0,0.906
2002,chaoborus.larvae,32.52080454715326,1.6960002371396745e-4,Invertebrate,animal,212.92996448291896,0.906
2002,leptodora,26.447106749810175,3.122536881231462e-5,Invertebrate,animal,347.8268453728333,0.906
2002,mysis,456.09561559091975,0.00102040520295524,Invertebrate,animal,126.53953158708163,0.906
2002,cladocera,21051.973865433,3.987150893975e-6,Invertebrate,animal,631.797816022455,0.906
2002,copepoda,32114.507605866,3.4660803262946427e-6,Invertebrate,animal,657.9866684631977,0.906
2002,rotifera,1169.9295364575,7.859988064732143e-8,Invertebrate,animal,1972.867634144184,0.906
2003,cisco,56546.65586984704,12.767865751783363,Ectothermic.vertebrate,animal,8.685994892908761,0.906
2003,lake.trout,0,0,Ectothermic.vertebrate,animal,0,0.906
2003,walleye,0,0,Ectothermic.vertebrate,animal,0,0.906
2003,chaoborus.larvae,50.62412957699521,1.0283186995123952e-4,Invertebrate,animal,246.18027500527683,0.906
2003,leptodora,31.67632702527323,4.036486400162247e-5,Invertebrate,animal,322.87118081541365,0.906
2003,mysis,993.6327388690912,0.00101660808151124,Invertebrate,animal,126.67641478313176,0.906
2003,cladocera,9457.3132079055,4.573787245416667e-6,Invertebrate,animal,607.1419861829232,0.906
2003,copepoda,28852.441888221,3.435156361357143e-6,Invertebrate,animal,659.6989718793444,0.906
2003,rotifera,916.1517803235001,2.156463258613445e-8,Invertebrate,animal,2870.682070700277,0.906
2004,cisco,103164.36540987255,4.051648452340735,Ectothermic.vertebrate,animal,12.116597172948477,0.906
2004,lake.trout,0,0,Ectothermic.vertebrate,animal,0,0.906
2004,walleye,0,0,Ectothermic.vertebrate,animal,0,0.906
2004,chaoborus.larvae,125.51899585930416,9.19418369904074e-5,Invertebrate,animal,254.30299436123744,0.906
2004,leptodora,74.23188088236381,4.9297304344776085e-5,Invertebrate,animal,304.68535173270527,0.906
2004,mysis,1291.762574927725,0.00102043018795143,Invertebrate,animal,126.53863307486822,0.906
2004,cladocera,11409.756315825,4.8139385095e-6,Invertebrate,animal,598.198251092574,0.906
2004,copepoda,16631.456717358004,3.6267918794999998e-6,Invertebrate,animal,649.3946869553445,0.906
2004,rotifera,640.4112278235,2.2888410741228068e-8,Invertebrate,animal,2821.5110796033287,0.906
2005,cisco,62451.239588101525,9.149479861251727,Ectothermic.vertebrate,animal,9.567289624264582,0.906
2005,lake.trout,0,0,Ectothermic.vertebrate,animal,0,0.906
2005,walleye,0,0,Ectothermic.vertebrate,animal,0,0.906
2005,chaoborus.larvae,14.723449879267717,6.433199772473514e-5,Invertebrate,animal,282.0502273735541,0.906
2005,leptodora,36.274223658872906,2.406676050525659e-5,Invertebrate,animal,375.11046517134434,0.906
2005,mysis,1168.6958294010817,0.00101989338458947,Invertebrate,animal,126.55794388343425,0.906
2005,cladocera,20044.031444094,3.920519169e-6,Invertebrate,animal,634.8931720506228,0.906
2005,copepoda,29121.611232042,3.6414040837125e-6,Invertebrate,animal,648.6379007024121,0.906
2005,rotifera,1500.8813900640002,7.1653656498366e-8,Invertebrate,animal,2026.5212939429925,0.906
2006,cisco,53383.304857673545,6.556536805672322,Ectothermic.vertebrate,animal,10.538001908024178,0.906
2006,lake.trout,0,0,Ectothermic.vertebrate,animal,0,0.906
2006,walleye,0,0,Ectothermic.vertebrate,animal,0,0.906
2006,chaoborus.larvae,13.115997564898978,5.202696376397849e-5,Invertebrate,animal,299.96047694679896,0.906
2006,leptodora,122.3675495158608,5.149210280779073e-5,Invertebrate,animal,300.8607356821486,0.906
2006,mysis,164.44402578173455,0.00101970251621579,Invertebrate,animal,126.56481328704632,0.906
2006,cladocera,40568.318410536005,4.367231917269842e-6,Invertebrate,animal,615.3333888140211,0.906
2006,copepoda,49200.5579760345,3.1766909330089286e-6,Invertebrate,animal,674.8349328410754,0.906
2006,rotifera,973.6405288364999,4.6963913625000014e-8,Invertebrate,animal,2290.6495652231783,0.906
2007,cisco,25177.1813694198,19.98429651326512,Ectothermic.vertebrate,animal,7.6277088575906555,0.906
2007,lake.trout,99883.2235881676,1331.9367079255935,Ectothermic.vertebrate,animal,2.2568029369065794,0.906
2007,walleye,4739.32063753966,225.70911522755296,Ectothermic.vertebrate,animal,3.7762839293068002,0.906
2007,chaoborus.larvae,55.236985004472345,8.178410572175356e-5,Invertebrate,animal,263.0851359038764,0.906
2007,leptodora,56.91044699447632,3.62933848440604e-5,Invertebrate,animal,332.9816704992645,0.906
2007,mysis,1136.2449246938652,0.00101795818374293,Invertebrate,animal,126.62766922312257,0.906
2007,cladocera,12283.497332421,4.824308725e-6,Invertebrate,animal,597.8250632252817,0.906
2007,copepoda,19432.3225471725,3.4090643536517858e-6,Invertebrate,animal,661.159263606841,0.906
2007,rotifera,674.001876723,7.296874315789474e-8,Invertebrate,animal,2015.8610985695432,0.906
2008,cisco,16567.399803572273,28.832543578557008,Ectothermic.vertebrate,animal,6.858479128189019,0.906
2008,lake.trout,41845.26211104501,1029.757782827781,Ectothermic.vertebrate,animal,2.431647984184296,0.906
2008,walleye,1824.5099733171865,209.77322602495056,Ectothermic.vertebrate,animal,3.857326157416624,0.906
2008,chaoborus.larvae,97.43225575158704,9.966474606340736e-5,Invertebrate,animal,248.42382332864983,0.906
2008,leptodora,72.68921730604758,5.103385254344553e-5,Invertebrate,animal,301.6416948891697,0.906
2008,mysis,780.4797639738998,0.00101863712343239,Invertebrate,animal,126.60318754995892,0.906
2008,cladocera,13282.564306431002,4.552318719077777e-6,Invertebrate,animal,607.970943369192,0.906
2008,copepoda,20434.925733452998,3.7033569655250004e-6,Invertebrate,animal,645.4722534608611,0.906
2008,rotifera,1154.511000685,3.368742788359789e-8,Invertebrate,animal,2522.3457540913255,0.906
2009,cisco,17418.033526077266,41.752748597355904,Ectothermic.vertebrate,animal,6.160205617472598,0.906
2009,lake.trout,48958.36416104658,615.5141944394788,Ectothermic.vertebrate,animal,2.8230257386740583,0.906
2009,walleye,1669.2519486776175,140.23464851062812,Ectothermic.vertebrate,animal,4.335167009991403,0.906
2009,chaoborus.larvae,66.55655651735786,1.221968601909875e-4,Invertebrate,animal,234.1654845931176,0.906
2009,leptodora,184.16878145738588,5.411105560615024e-5,Invertebrate,animal,296.56326427771984,0.906
2009,mysis,1032.536789482842,0.00102079761688862,Invertebrate,animal,126.52542284582661,0.906
2009,cladocera,9728.5630242045,5.10268844785e-6,Invertebrate,animal,588.1777204832491,0.906
2009,copepoda,15702.6005833095,3.862923681714286e-6,Invertebrate,animal,637.6239450939977,0.906
2009,rotifera,533.4957832575,4.840324274509804e-8,Invertebrate,animal,2270.6840135128073,0.906
2010,cisco,25338.69195720369,40.23507907290984,Ectothermic.vertebrate,animal,6.226707565064476,0.906
2010,lake.trout,40175.1444885276,767.4012560266972,Ectothermic.vertebrate,animal,2.648118115237664,0.906
2010,walleye,1970.3161483445692,209.77322602495056,Ectothermic.vertebrate,animal,3.857326157416624,0.906
2010,chaoborus.larvae,119.09339220098342,1.1056171332289964e-4,Invertebrate,animal,241.0598681702789,0.906
2010,leptodora,168.037994541736,6.287278418872637e-5,Invertebrate,animal,283.9331589643569,0.906
2010,mysis,2081.365753977698,0.00102097800155876,Invertebrate,animal,126.51893969271543,0.906
2010,cladocera,10996.2679382535,5.183973047583333e-6,Invertebrate,animal,585.4881398313314,0.906
2010,copepoda,16680.950696487,3.499963815214286e-6,Invertebrate,animal,656.132974897706,0.906
2010,rotifera,546.3902528699999,4.4802992904411765e-8,Invertebrate,animal,2322.1552816727935,0.906
2011,cisco,7178.826642351532,48.417896292755046,Ectothermic.vertebrate,animal,5.901224859889438,0.906
2011,lake.trout,52371.84284319117,571.886610202821,Ectothermic.vertebrate,animal,2.883858847111151,0.906
2011,walleye,4964.375512415618,271.0483085414632,Ectothermic.vertebrate,animal,3.581049592888424,0.906
2011,chaoborus.larvae,203.4090693339537,1.1591581338839396e-4,Invertebrate,animal,237.77649224929252,0.906
2011,leptodora,98.9583681247347,4.592319778086875e-5,Invertebrate,animal,311.014745517309,0.906
2011,mysis,1586.7157546217372,0.0010253855338658,Invertebrate,animal,126.36098749001117,0.906
2011,cladocera,22283.146828824003,4.6519336563e-6,Invertebrate,animal,604.1664107554276,0.906
2011,copepoda,33280.945212333005,3.695941226769842e-6,Invertebrate,animal,645.8475683906586,0.906
2011,rotifera,816.4608564,6.700842403508775e-8,Invertebrate,animal,2066.297108796878,0.906
2012,cisco,21612.344786093363,48.417896292755046,Ectothermic.vertebrate,animal,5.901224859889438,0.906
2012,lake.trout,35574.5169596594,992.5925490976392,Ectothermic.vertebrate,animal,2.4577080147349717,0.906
2012,walleye,1100.0056228397698,337.63217398396864,Ectothermic.vertebrate,animal,3.36004558642737,0.906
2012,chaoborus.larvae,181.0169461794306,1.0921522002660576e-4,Invertebrate,animal,241.91799659611922,0.906
2012,leptodora,189.5041839125343,3.754887862684457e-5,Invertebrate,animal,329.71383697342105,0.906
2012,mysis,1096.9537555517618,0.00101811752209116,Invertebrate,animal,126.62192180040631,0.906
2012,cladocera,7551.9341116695005,5.5243806915e-6,Invertebrate,animal,574.7884749614292,0.906
2012,copepoda,10376.193279868501,2.977148629482143e-6,Invertebrate,animal,687.6511051997958,0.906
2012,rotifera,227.025615915,1.82858125e-8,Invertebrate,animal,3011.3217371739893,0.906
